City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Ribeira Grande,PT,38.5167,-28.7,62.78,92,100,15.99,overcast clouds
159,Auki,SB,-8.7676,160.7034,83.23,71,80,9.31,broken clouds
160,Sobolevo,RU,54.4299,31.8996,12.7,84,94,12.95,overcast clouds
161,Kiama,AU,-34.6833,150.8667,82.38,64,0,1.99,clear sky
162,Xinzhou,CN,38.4092,112.7333,38.07,31,0,2.19,clear sky
163,Cayenne,GF,4.9333,-52.3333,73.44,94,100,2.3,overcast clouds
164,Padang,ID,-0.9492,100.3543,84.25,66,98,5.08,overcast clouds
165,Vanavara,RU,60.34,102.2797,9.7,95,100,4.43,light snow
166,Paita,PE,-5.0892,-81.1144,69.08,79,80,11.05,broken clouds
167,Pisco,PE,-13.7,-76.2167,68.05,83,0,1.14,clear sky
168,Along,IN,28.1667,94.7667,70.56,28,0,1.14,clear sky
169,Lasa,IT,46.6166,10.7002,38.28,98,99,2.21,overcast clouds
170,Cody,US,44.5263,-109.0565,39.42,45,20,4.61,few clouds
171,Millerovo,RU,48.9226,40.3967,8.71,78,8,1.1,clear sky
172,Kieta,PG,-6.2167,155.6333,84.09,74,96,6.64,light rain
173,Noshiro,JP,40.2039,140.0242,38.23,96,100,9.4,overcast clouds
174,Vaini,TO,-21.2,-175.2,86.16,79,20,5.75,few clouds
175,Planeta Rica,CO,8.4147,-75.5883,75.07,92,62,6.96,broken clouds
176,East London,ZA,-33.0153,27.9116,71.49,75,0,11.1,clear sky
177,Qaanaaq,GL,77.484,-69.3632,-13.47,98,100,2.35,overcast clouds
178,Spaichingen,DE,48.0833,8.7167,40.46,90,100,13.58,light rain
179,Thunder Bay,CA,48.4001,-89.3168,24.78,86,100,11.5,overcast clouds
180,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.0,94,100,3.74,overcast clouds
181,Teguldet,RU,57.3064,88.1667,17.82,84,86,18.77,overcast clouds
182,Gobabis,NA,-22.45,18.9667,69.57,47,8,16.87,clear sky
183,Yankton,US,42.8711,-97.3973,22.12,86,100,5.75,fog
184,Shelburne,CA,44.0787,-80.2041,25.9,93,83,7.87,broken clouds
185,Alofi,NU,-19.0595,-169.9187,80.49,89,100,11.5,light rain
186,Yar-Sale,RU,66.8333,70.8333,-16.29,89,37,17.58,scattered clouds
187,Antipovka,RU,49.8299,45.3122,1.42,93,9,4.59,clear sky
188,Chara,RU,56.9064,118.2631,2.98,84,99,1.16,overcast clouds
189,Ostrovnoy,RU,68.0531,39.5131,9.5,94,35,20.18,scattered clouds
190,Elsmere,US,39.0126,-84.6047,35.94,88,100,8.05,overcast clouds
191,Saint-Joseph,RE,-21.3667,55.6167,82.78,72,17,9.8,few clouds
192,Saint George,US,37.1041,-113.5841,43.79,77,0,1.01,clear sky
193,Coihaique,CL,-45.5752,-72.0662,61.41,94,100,6.91,light rain
194,Etchojoa,MX,26.9167,-109.6333,60.28,60,0,6.15,clear sky
195,Ballina,AU,-28.8667,153.5667,85.01,62,1,12.91,clear sky
196,Liberal,US,37.0431,-100.921,33.94,51,0,9.22,clear sky
197,Alice Springs,AU,-23.7,133.8833,71.15,88,100,6.91,overcast clouds
198,Tasiilaq,GL,65.6145,-37.6368,19.56,59,39,8.95,scattered clouds
199,Provideniya,RU,64.3833,-173.3,3.36,85,100,18.01,overcast clouds
200,Carnarvon,AU,-24.8667,113.6333,81.1,62,0,18.77,clear sky
201,Laguna,US,38.421,-121.4238,57.18,89,100,10.36,moderate rain
202,Mandalgovi,MN,45.7625,106.2708,21.92,56,45,10.87,scattered clouds
203,Nara,JP,34.6851,135.8049,55.49,38,1,11.56,clear sky
204,Lebu,CL,-37.6167,-73.65,57.29,95,7,3.31,clear sky
205,Nerchinskiy Zavod,RU,51.3088,119.61,-4.79,91,95,5.79,overcast clouds
206,Huarmey,PE,-10.0681,-78.1522,69.6,81,97,5.97,overcast clouds
207,Huntsville,US,34.7304,-86.5861,47.93,90,0,5.99,clear sky
208,Lorengau,PG,-2.0226,147.2712,84.45,71,37,7.25,scattered clouds
209,Tuktoyaktuk,CA,69.4541,-133.0374,1.4,85,100,6.91,light snow
210,College,US,64.8569,-147.8028,-13.31,100,92,2.24,overcast clouds
211,Akdepe,TM,42.0551,59.3788,12.29,40,11,7.63,few clouds
212,Bitlis,TR,38.5,42.25,20.91,95,89,1.45,overcast clouds
213,Georgetown,MY,5.4112,100.3354,84.13,78,40,8.05,scattered clouds
