City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
417,Ocos,GT,77.79,broken clouds,14.5094,-92.1933,No hotel found
418,Mananara,MG,80.53,light rain,-16.1667,49.7667,Chez Roger
419,Harper,LR,77.5,scattered clouds,4.375,-7.7169,No hotel found
425,Balingasay,PH,81.54,few clouds,16.3573,119.8564,Ramos Beach Resort
434,Belawan,ID,84.49,broken clouds,3.7755,98.6832,Danau Toba International Cottage Belawan
437,Savannah Bight,HN,77.95,moderate rain,16.45,-85.85,La Giralda
438,Kudahuvadhoo,MV,81.48,scattered clouds,2.6708,72.8944,No hotel found
443,Mayor Pablo Lagerenza,PY,75.43,clear sky,-19.9309,-60.7718,No hotel found
448,Kasaragod,IN,85.84,clear sky,12.5,75.0,PWD Canteen Kasaragod
455,Sri Aman,MY,87.85,scattered clouds,1.2376,111.4621,Mega Inn
456,Sungaipenuh,ID,77.94,overcast clouds,-2.0833,101.3833,Hotel Matahari
467,Hobyo,SO,78.94,scattered clouds,5.3505,48.5268,No hotel found
472,Armidale,AU,84.04,clear sky,-30.5167,151.65,Lindsay House
483,Neiafu,TO,86.68,light rain,-18.65,-173.9833,Port Wine Guest House
487,Kanniyakumari,IN,79.99,clear sky,8.0833,77.5667,The Seashore Hotel
